date,description,amount
2024-09-30,ChatGPT Plus,20.06
2024-09-30,Notion Pro,9.98
2024-09-30,Notion Pro,9.96
2024-10-01,DoorDash Order,62.57
2024-10-01,Gym Membership,50.03
2024-10-01,Substack VIP,8.08
2024-10-02,Slack Workspace,8.81
2024-10-02,Google One,1.98
2024-10-03,Spotify,11.09
2024-10-04,GitHub Pro,4.06
2024-10-04,Airbnb Booking,356.92
2024-10-04,PlayStation Plus,17.96
2024-10-04,Netflix,16.12
2024-10-05,NYTimes Digital,3.99
2024-10-05,Amazon Retail,46.03
2024-10-05,Spotify,11.15
2024-10-06,Google One,1.98
2024-10-06,Adobe Creative Cloud,55.6
2024-10-06,Disney+,14.02
2024-10-07,Disney+,14.18
2024-10-07,Spotify,11.05
2024-10-08,Trader Joe's,97.33
2024-10-08,PlayStation Plus,17.94
2024-10-09,Adobe Creative Cloud,54.84
2024-10-09,Google One,2.0
2024-10-09,Spotify,11.07
2024-10-09,Uber Trip,20.87
2024-10-09,DoorDash Order,35.62
2024-10-09,GitHub Pro,4.04
2024-10-09,Gym Membership,50.63
2024-10-09,Substack VIP,8.13
2024-10-10,Local Restaurant,34.29
2024-10-10,Uber Trip,20.12
2024-10-10,GitHub Pro,4.01
2024-10-10,ChatGPT Plus,20.15
2024-10-10,PlayStation Plus,18.14
2024-10-11,NYTimes Digital,4.01
2024-10-11,Adobe Creative Cloud,55.11
2024-10-12,AWS Hosting,44.23
2024-10-12,Gym Membership,49.84
2024-10-12,Substack VIP,8.01
2024-10-12,iCloud Storage,2.97
2024-10-12,ChatGPT Plus,19.8
2024-10-13,Disney+,14.12
2024-10-13,iCloud Storage,2.93
2024-10-13,Netflix,16.2
2024-10-14,GitHub Pro,3.92
2024-10-14,Notion Pro,9.95
2024-10-15,Notion Pro,9.88
2024-10-16,iCloud Storage,2.94
2024-10-16,ChatGPT Plus,20.08
2024-10-17,PlayStation Plus,17.88
2024-10-17,Shell Gas Station,56.85
2024-10-18,Notion Pro,9.94
2024-10-18,NYTimes Digital,3.96
2024-10-19,Starbucks Coffee,5.39
2024-10-20,Gym Membership,49.75
2024-10-20,Shell Gas Station,31.1
2024-10-20,Spotify,10.98
2024-10-20,GitHub Pro,3.87
2024-10-21,Slack Workspace,8.74
2024-10-22,Trader Joe's,48.75
2024-10-22,PlayStation Plus,17.99
2024-10-22,iCloud Storage,2.99
2024-10-22,Disney+,14.0
2024-10-23,Substack VIP,8.02
2024-10-23,Google One,1.98
2024-10-24,Netflix,16.03
2024-10-24,iCloud Storage,3.03
2024-10-24,AWS Hosting,44.49
2024-10-25,Adobe Creative Cloud,55.53
2024-10-25,NYTimes Digital,4.01
2024-10-26,Netflix,15.92
2024-10-26,Slack Workspace,8.85
2024-10-27,Slack Workspace,8.77
2024-10-27,AWS Hosting,44.88
2024-10-28,Substack VIP,7.87
2024-10-28,Gym Membership,50.15
2024-10-28,Google One,1.94
2024-10-28,Slack Workspace,8.86
2024-10-28,Adobe Creative Cloud,54.46
2024-10-28,AWS Hosting,45.42
2024-10-28,ChatGPT Plus,20.17
2024-10-28,Disney+,14.15
2024-10-29,NYTimes Digital,4.04
2024-10-29,ChatGPT Plus,19.45
2024-10-30,AWS Hosting,44.87
2024-10-30,Notion Pro,9.86
2024-10-30,Netflix,16.05
2024-10-31,Notion Pro,9.99
2024-10-31,Substack VIP,7.92
2024-10-31,Gym Membership,50.73
2024-11-02,Spotify,10.84
2024-11-02,Slack Workspace,8.72
2024-11-02,Target Store,25.0
2024-11-02,Google One,1.99
2024-11-03,GitHub Pro,4.07
2024-11-03,NYTimes Digital,3.96
2024-11-03,PlayStation Plus,17.75
2024-11-03,Spotify,10.89
2024-11-04,Netflix,15.75
2024-11-04,Disney+,14.01
2024-11-04,Google One,1.99
2024-11-04,Adobe Creative Cloud,55.62
2024-11-05,Spotify,10.97
2024-11-05,Local Restaurant,53.18
2024-11-06,Shell Gas Station,31.48
2024-11-06,CVS Pharmacy,9.13
2024-11-07,Disney+,14.05
2024-11-08,Gym Membership,50.33
2024-11-08,PlayStation Plus,17.76
2024-11-08,Adobe Creative Cloud,54.62
2024-11-08,GitHub Pro,4.06
2024-11-08,GitHub Pro,3.99
2024-11-09,Google One,2.0
2024-11-09,NYTimes Digital,4.0
2024-11-09,PlayStation Plus,17.81
2024-11-09,Amazon Retail,97.0
2024-11-09,ChatGPT Plus,19.7
2024-11-09,Substack VIP,7.92
2024-11-09,Spotify,11.01
2024-11-10,Adobe Creative Cloud,56.06
2024-11-10,Disney+,13.68
2024-11-10,Best Buy,182.07
2024-11-11,Substack VIP,7.99
2024-11-11,Gym Membership,49.01
2024-11-11,AWS Hosting,45.13
2024-11-11,iCloud Storage,3.0
2024-11-12,ChatGPT Plus,19.97
2024-11-12,iCloud Storage,3.02
2024-11-13,Notion Pro,10.06
2024-11-13,Notion Pro,9.95
2024-11-13,Netflix,15.85
2024-11-13,Trader Joe's,25.23
2024-11-14,ChatGPT Plus,19.84
2024-11-14,iCloud Storage,2.92
2024-11-15,GitHub Pro,4.0
2024-11-15,PlayStation Plus,18.15
2024-11-16,Starbucks Coffee,11.67
2024-11-17,NYTimes Digital,4.01
2024-11-19,Spotify,11.06
2024-11-19,Notion Pro,9.82
2024-11-19,Gym Membership,50.04
2024-11-20,GitHub Pro,3.94
2024-11-20,iCloud Storage,3.0
2024-11-20,Uber Trip,20.94
2024-11-21,Disney+,13.95
2024-11-21,PlayStation Plus,17.82
2024-11-22,Substack VIP,8.09
2024-11-22,Slack Workspace,8.65
2024-11-22,AWS Hosting,44.64
2024-11-23,Google One,1.99
2024-11-23,Netflix,15.98
2024-11-24,Netflix,15.74
2024-11-24,iCloud Storage,2.96
2024-11-24,NYTimes Digital,3.99
2024-11-24,CVS Pharmacy,23.04
2024-11-25,Disney+,13.96
2024-11-25,Slack Workspace,8.95
2024-11-25,Adobe Creative Cloud,56.1
2024-11-26,AWS Hosting,45.44
2024-11-26,AWS Hosting,44.9
2024-11-26,Slack Workspace,8.73
2024-11-26,Gym Membership,49.97
2024-11-27,Adobe Creative Cloud,54.52
2024-11-27,Substack VIP,8.01
2024-11-27,ChatGPT Plus,19.73
2024-11-27,Slack Workspace,8.84
2024-11-28,Google One,1.98
2024-11-28,NYTimes Digital,3.98
2024-11-29,ChatGPT Plus,20.05
2024-11-29,Netflix,15.85
2024-11-29,Notion Pro,10.04
2024-11-29,Gym Membership,50.17
2024-11-30,Notion Pro,9.88
2024-11-30,Substack VIP,7.98
2024-11-30,AWS Hosting,44.37
2024-12-01,Slack Workspace,8.64
2024-12-01,Spotify,11.19
2024-12-02,Trader Joe's,96.32
2024-12-02,NYTimes Digital,4.02
2024-12-03,Google One,2.03
2024-12-03,GitHub Pro,4.03
2024-12-03,Spotify,10.91
2024-12-04,Spotify,10.92
2024-12-04,PlayStation Plus,18.16
2024-12-04,Netflix,16.03
2024-12-04,Google One,2.0
2024-12-05,Adobe Creative Cloud,54.99
2024-12-05,Disney+,13.97
2024-12-05,Delta Airlines,448.51
2024-12-05,Disney+,14.1
2024-12-06,PlayStation Plus,18.01
2024-12-07,Substack VIP,7.99
2024-12-08,GitHub Pro,4.01
2024-12-08,Spotify,10.78
2024-12-08,Gym Membership,49.89
2024-12-08,Google One,1.98
2024-12-09,Adobe Creative Cloud,53.97
2024-12-09,GitHub Pro,3.98
2024-12-09,ChatGPT Plus,20.23
2024-12-10,NYTimes Digital,3.98
2024-12-10,PlayStation Plus,18.03
2024-12-10,AWS Hosting,45.14
2024-12-10,Adobe Creative Cloud,55.44
2024-12-10,iCloud Storage,2.98
2024-12-10,Disney+,13.9
2024-12-11,Gym Membership,49.44
2024-12-11,ChatGPT Plus,20.51
2024-12-11,Substack VIP,8.01
2024-12-11,iCloud Storage,3.06
2024-12-13,Netflix,16.03
2024-12-13,Notion Pro,9.92
2024-12-14,GitHub Pro,3.95
2024-12-14,Notion Pro,9.86
2024-12-14,ChatGPT Plus,19.97
2024-12-14,iCloud Storage,2.97
2024-12-14,Delta Airlines,384.24
2024-12-16,Delta Airlines,370.96
2024-12-16,PlayStation Plus,17.89
2024-12-16,NYTimes Digital,4.04
2024-12-17,DoorDash Order,40.74
2024-12-17,Spotify,11.07
2024-12-17,Notion Pro,10.14
2024-12-18,Gym Membership,49.42
2024-12-20,Best Buy,296.37
2024-12-20,PlayStation Plus,17.81
2024-12-20,iCloud Storage,2.99
2024-12-20,GitHub Pro,4.04
2024-12-21,Disney+,14.07
2024-12-21,Slack Workspace,8.6
2024-12-23,Substack VIP,8.09
2024-12-23,Google One,1.98
2024-12-23,Netflix,15.99
2024-12-23,AWS Hosting,45.68
2024-12-24,AWS Hosting,45.16
2024-12-24,iCloud Storage,3.01
2024-12-24,Netflix,16.09
2024-12-25,NYTimes Digital,4.02
2024-12-25,Gym Membership,50.43
2024-12-25,Adobe Creative Cloud,54.58
2024-12-25,Slack Workspace,8.78
2024-12-26,AWS Hosting,45.13
2024-12-26,Slack Workspace,8.63
2024-12-26,Slack Workspace,8.78
2024-12-26,ChatGPT Plus,20.19
2024-12-26,Disney+,13.72
2024-12-28,Google One,1.99
2024-12-28,Notion Pro,10.07
2024-12-28,NYTimes Digital,4.01
2024-12-28,Substack VIP,8.09
2024-12-28,Adobe Creative Cloud,55.02
2024-12-28,Gym Membership,49.7
2024-12-29,Netflix,15.83
2024-12-29,Substack VIP,8.04
2024-12-30,AWS Hosting,45.01
2024-12-30,ChatGPT Plus,19.82
2024-12-30,Notion Pro,9.79
2024-12-30,Amazon Retail,37.0
2024-12-31,Spotify,11.13
2024-12-31,Airbnb Booking,218.33
2024-12-31,Starbucks Coffee,6.82
2025-01-01,Google One,2.0
2025-01-01,Slack Workspace,8.68
2025-01-02,GitHub Pro,3.99
2025-01-02,Airbnb Booking,431.75
2025-01-02,PlayStation Plus,17.98
2025-01-03,Adobe Creative Cloud,55.74
2025-01-03,Google One,1.99
2025-01-03,Spotify,10.78
2025-01-03,NYTimes Digital,3.99
2025-01-03,Netflix,15.87
2025-01-04,Disney+,13.99
2025-01-04,Spotify,11.09
2025-01-05,Disney+,13.79
2025-01-06,PlayStation Plus,18.27
2025-01-06,Substack VIP,7.89
2025-01-06,Google One,1.99
2025-01-07,Gym Membership,49.56
2025-01-07,GitHub Pro,3.99
2025-01-07,Amazon Retail,89.28
2025-01-07,Adobe Creative Cloud,54.83
2025-01-07,GitHub Pro,4.01
2025-01-08,PlayStation Plus,18.24
2025-01-09,Substack VIP,8.1
2025-01-09,Spotify,10.97
2025-01-09,ChatGPT Plus,20.34
2025-01-09,NYTimes Digital,3.91
2025-01-10,AWS Hosting,45.32
2025-01-10,Adobe Creative Cloud,55.33
2025-01-10,iCloud Storage,2.92
2025-01-10,Gym Membership,49.57
2025-01-11,Disney+,14.01
2025-01-11,iCloud Storage,2.95
2025-01-11,Local Restaurant,36.49
2025-01-11,ChatGPT Plus,20.1
2025-01-12,Notion Pro,9.78
2025-01-12,GitHub Pro,4.01
2025-01-12,Netflix,16.05
2025-01-12,Notion Pro,10.01
2025-01-12,Amazon Retail,113.19
2025-01-13,ChatGPT Plus,19.81
2025-01-13,iCloud Storage,3.01
2025-01-14,Shell Gas Station,59.25
2025-01-15,PlayStation Plus,18.14
2025-01-16,Delta Airlines,355.91
2025-01-16,Trader Joe's,28.26
2025-01-16,NYTimes Digital,4.07
2025-01-17,Notion Pro,10.13
2025-01-17,Spotify,10.98
2025-01-18,Gym Membership,50.36
2025-01-18,Airbnb Booking,142.5
2025-01-18,Amazon Retail,108.82
2025-01-19,GitHub Pro,3.99
2025-01-19,Slack Workspace,8.66
2025-01-20,PlayStation Plus,17.98
2025-01-20,iCloud Storage,3.0
2025-01-21,AWS Hosting,44.48
2025-01-21,Substack VIP,8.04
2025-01-21,Netflix,15.72
2025-01-21,Disney+,13.98
2025-01-22,Netflix,16.04
2025-01-22,Google One,2.01
2025-01-24,AWS Hosting,45.78
2025-01-24,Slack Workspace,8.73
2025-01-24,NYTimes Digital,4.05
2025-01-24,AWS Hosting,45.79
2025-01-24,Gym Membership,49.95
2025-01-24,iCloud Storage,2.98
2025-01-25,Adobe Creative Cloud,54.64
2025-01-25,Trader Joe's,41.93
2025-01-25,Disney+,13.95
2025-01-25,Slack Workspace,8.75
2025-01-25,ChatGPT Plus,20.25
2025-01-25,Slack Workspace,8.68
2025-01-26,NYTimes Digital,4.07
2025-01-26,Substack VIP,8.07
2025-01-26,Google One,2.01
2025-01-27,Netflix,16.06
2025-01-27,Adobe Creative Cloud,54.64
2025-01-28,Notion Pro,9.89
2025-01-28,Gym Membership,49.7
2025-01-28,ChatGPT Plus,19.96
2025-01-28,AWS Hosting,44.85
2025-01-29,Notion Pro,9.96
2025-01-29,Substack VIP,8.13
2025-01-29,Spotify,10.91
2025-01-30,Slack Workspace,8.87
2025-01-31,NYTimes Digital,4.03
2025-01-31,PlayStation Plus,17.56
2025-01-31,Starbucks Coffee,9.37
2025-01-31,Google One,1.97
2025-02-01,DoorDash Order,55.86
2025-02-01,Adobe Creative Cloud,54.95
2025-02-01,GitHub Pro,4.08
2025-02-01,Shell Gas Station,50.22
2025-02-02,Netflix,15.9
2025-02-02,Spotify,11.15
2025-02-03,Disney+,14.16
2025-02-03,Google One,2.0
2025-02-04,PlayStation Plus,18.17
2025-02-04,Disney+,13.95
2025-02-04,Spotify,11.07
2025-02-05,Trader Joe's,36.17
2025-02-05,GitHub Pro,3.95
2025-02-06,Gym Membership,50.12
2025-02-06,Substack VIP,7.92
2025-02-06,Adobe Creative Cloud,55.36
2025-02-06,Spotify,11.15
2025-02-06,GitHub Pro,3.94
2025-02-07,ChatGPT Plus,19.99
2025-02-07,Google One,1.99
2025-02-07,Adobe Creative Cloud,55.14
2025-02-07,DoorDash Order,45.41
2025-02-08,NYTimes Digital,3.98
2025-02-08,Disney+,13.84
2025-02-08,Best Buy,235.74
2025-02-08,ChatGPT Plus,19.84
2025-02-08,PlayStation Plus,18.03
2025-02-09,Substack VIP,7.99
2025-02-09,iCloud Storage,2.97
2025-02-09,Gym Membership,49.49
2025-02-10,AWS Hosting,45.45
2025-02-10,iCloud Storage,3.0
2025-02-10,Notion Pro,9.99
2025-02-11,iCloud Storage,3.0
2025-02-11,Netflix,16.13
2025-02-12,ChatGPT Plus,19.84
2025-02-12,Notion Pro,9.89
2025-02-12,Target Store,108.24
2025-02-12,GitHub Pro,4.01
2025-02-13,PlayStation Plus,18.21
2025-02-13,Starbucks Coffee,8.6
2025-02-14,Target Store,14.06
2025-02-15,NYTimes Digital,3.99
2025-02-16,Notion Pro,9.92
2025-02-16,Trader Joe's,37.41
2025-02-16,Spotify,11.12
2025-02-17,Gym Membership,49.85
2025-02-17,Amazon Retail,95.53
2025-02-18,GitHub Pro,4.02
2025-02-19,iCloud Storage,2.98
2025-02-19,Airbnb Booking,218.34
2025-02-19,Slack Workspace,8.65
2025-02-19,PlayStation Plus,18.03
2025-02-19,Disney+,13.94
2025-02-21,AWS Hosting,44.28
2025-02-21,Substack VIP,7.93
2025-02-22,Adobe Creative Cloud,54.9
2025-02-22,Google One,2.02
2025-02-22,Netflix,16.0
2025-02-22,Netflix,15.98
2025-02-23,Slack Workspace,8.69
2025-02-23,iCloud Storage,2.94
2025-02-23,CVS Pharmacy,36.01
2025-02-23,NYTimes Digital,3.98
2025-02-24,Gym Membership,49.5
2025-02-24,Slack Workspace,8.6
2025-02-24,AWS Hosting,45.05
2025-02-24,Slack Workspace,8.86
2025-02-24,ChatGPT Plus,19.86
2025-02-24,Disney+,13.98
2025-02-25,AWS Hosting,45.16
2025-02-25,Adobe Creative Cloud,55.01
2025-02-25,NYTimes Digital,4.0
2025-02-26,Substack VIP,8.08
2025-02-27,Gym Membership,49.9
2025-02-27,Netflix,16.27
2025-02-27,Notion Pro,9.92
2025-02-27,Google One,1.99
2025-02-27,ChatGPT Plus,20.1
2025-02-27,AWS Hosting,45.36
2025-02-28,Notion Pro,9.97
2025-02-28,Substack VIP,7.95
2025-02-28,Amazon Retail,84.49
2025-03-01,Google One,2.01
2025-03-01,Slack Workspace,8.77
2025-03-01,Amazon Retail,90.36
2025-03-02,Spotify,10.96
2025-03-02,GitHub Pro,3.98
2025-03-03,PlayStation Plus,18.1
2025-03-03,Spotify,10.78
2025-03-03,Delta Airlines,183.89
2025-03-04,Spotify,11.06
2025-03-04,Airbnb Booking,138.38
2025-03-04,Netflix,16.01
2025-03-04,NYTimes Digital,4.01
2025-03-04,Adobe Creative Cloud,53.57
2025-03-05,Disney+,14.01
2025-03-05,Google One,1.98
2025-03-05,Disney+,13.72
2025-03-06,Local Restaurant,48.24
2025-03-07,PlayStation Plus,17.75
2025-03-07,Adobe Creative Cloud,55.88
2025-03-08,Google One,2.01
2025-03-08,Substack VIP,7.85
2025-03-08,CVS Pharmacy,24.46
2025-03-08,GitHub Pro,4.03
2025-03-08,Gym Membership,49.29
2025-03-08,GitHub Pro,4.05
2025-03-09,PlayStation Plus,18.07
2025-03-09,Best Buy,124.13
2025-03-09,NYTimes Digital,3.97
2025-03-09,ChatGPT Plus,20.19
2025-03-09,Spotify,11.0
2025-03-10,Substack VIP,8.04
2025-03-10,ChatGPT Plus,20.13
2025-03-10,Adobe Creative Cloud,55.39
2025-03-11,iCloud Storage,3.0
2025-03-11,Disney+,13.84
2025-03-11,AWS Hosting,44.89
2025-03-12,Netflix,16.28
2025-03-12,iCloud Storage,2.95
2025-03-12,Notion Pro,9.92
2025-03-12,Gym Membership,49.74
2025-03-14,DoorDash Order,53.38
2025-03-14,iCloud Storage,2.98
2025-03-14,Notion Pro,10.01
2025-03-15,GitHub Pro,3.99
2025-03-15,ChatGPT Plus,19.82
2025-03-17,PlayStation Plus,17.73
2025-03-17,Spotify,10.94
2025-03-18,Trader Joe's,82.83
2025-03-18,Notion Pro,10.19
2025-03-18,Uber Trip,37.95
2025-03-18,NYTimes Digital,4.11
2025-03-19,Gym Membership,50.02
2025-03-20,Target Store,113.2
2025-03-20,Slack Workspace,8.72
2025-03-20,iCloud Storage,3.01
2025-03-21,PlayStation Plus,17.75
2025-03-21,Uber Trip,34.1
2025-03-21,DoorDash Order,30.02
2025-03-21,GitHub Pro,3.89
2025-03-21,Trader Joe's,26.02
2025-03-21,Disney+,14.05
2025-03-22,AWS Hosting,45.29
2025-03-22,Substack VIP,7.91
2025-03-23,Netflix,15.84
2025-03-23,Google One,2.0
2025-03-24,iCloud Storage,2.98
2025-03-24,Netflix,16.38
2025-03-24,NYTimes Digital,4.05
2025-03-25,Slack Workspace,8.73
2025-03-25,Slack Workspace,8.62
2025-03-25,Adobe Creative Cloud,54.93
2025-03-25,AWS Hosting,44.79
2025-03-25,DoorDash Order,38.9
2025-03-26,Gym Membership,49.99
2025-03-26,AWS Hosting,45.15
2025-03-26,Slack Workspace,8.75
2025-03-26,Disney+,13.98
2025-03-27,Google One,1.98
2025-03-27,Local Restaurant,85.72
2025-03-27,Adobe Creative Cloud,55.56
2025-03-27,ChatGPT Plus,19.85
2025-03-27,NYTimes Digital,3.99
2025-03-27,Substack VIP,7.9
2025-03-28,AWS Hosting,43.96
2025-03-28,ChatGPT Plus,19.85
2025-03-29,Gym Membership,50.38
2025-03-29,Notion Pro,9.99
2025-03-29,Notion Pro,10.1
2025-03-29,Netflix,16.04
2025-03-30,Substack VIP,7.86
2025-03-31,Spotify,11.2
2025-04-01,Google One,2.0
2025-04-01,GitHub Pro,3.97
2025-04-01,PlayStation Plus,18.0
2025-04-01,Slack Workspace,8.71
2025-04-02,Spotify,11.06
2025-04-02,NYTimes Digital,3.95
2025-04-03,Shell Gas Station,57.16
2025-04-03,Google One,2.02
2025-04-04,Disney+,13.88
2025-04-04,Netflix,15.94
2025-04-04,Spotify,10.79
2025-04-04,Adobe Creative Cloud,55.88
2025-04-05,Disney+,13.86
2025-04-06,GitHub Pro,4.05
2025-04-06,PlayStation Plus,18.11
2025-04-07,ChatGPT Plus,20.14
2025-04-07,Substack VIP,7.92
2025-04-07,Google One,2.03
2025-04-07,Gym Membership,49.5
2025-04-08,Spotify,10.94
2025-04-08,GitHub Pro,3.9
2025-04-08,PlayStation Plus,18.05
2025-04-08,NYTimes Digital,3.99
2025-04-08,Adobe Creative Cloud,54.97
2025-04-09,Substack VIP,8.08
2025-04-09,iCloud Storage,2.99
2025-04-09,Adobe Creative Cloud,55.07
2025-04-10,AWS Hosting,45.0
2025-04-10,Trader Joe's,49.44
2025-04-10,Gym Membership,49.71
2025-04-10,Disney+,14.14
2025-04-10,iCloud Storage,2.94
2025-04-11,ChatGPT Plus,19.82
2025-04-11,Notion Pro,9.98
2025-04-12,Netflix,15.97
2025-04-13,ChatGPT Plus,19.87
2025-04-13,GitHub Pro,4.07
2025-04-13,iCloud Storage,3.01
2025-04-13,Notion Pro,9.96
2025-04-16,NYTimes Digital,3.94
2025-04-16,PlayStation Plus,18.13
2025-04-16,Best Buy,233.38
2025-04-17,Spotify,10.8
2025-04-17,Notion Pro,10.08
2025-04-18,Starbucks Coffee,7.09
2025-04-19,Gym Membership,50.25
2025-04-20,Slack Workspace,8.94
2025-04-20,PlayStation Plus,18.1
2025-04-20,GitHub Pro,4.08
2025-04-21,Trader Joe's,86.12
2025-04-21,iCloud Storage,2.99
2025-04-21,Shell Gas Station,31.0
2025-04-21,Netflix,16.22
2025-04-21,Disney+,13.99
2025-04-22,Google One,1.98
2025-04-22,Substack VIP,8.04
2025-04-23,Shell Gas Station,51.54
2025-04-23,iCloud Storage,3.04
2025-04-23,Slack Workspace,8.82
2025-04-23,AWS Hosting,44.34
2025-04-23,Netflix,16.12
2025-04-24,Gym Membership,49.58
2025-04-24,NYTimes Digital,4.0
2025-04-24,Adobe Creative Cloud,54.32
2025-04-24,Slack Workspace,8.81
2025-04-25,AWS Hosting,45.29
2025-04-25,AWS Hosting,45.49
2025-04-25,Disney+,14.05
2025-04-25,Slack Workspace,8.8
2025-04-26,Trader Joe's,88.44
2025-04-26,Adobe Creative Cloud,56.02
2025-04-27,Substack VIP,7.91
2025-04-27,ChatGPT Plus,19.66
2025-04-27,NYTimes Digital,4.03
2025-04-27,Notion Pro,10.12
2025-04-28,AWS Hosting,44.52
2025-04-28,Google One,2.0
2025-04-28,Notion Pro,9.8
2025-04-29,Gym Membership,50.43
2025-04-29,Netflix,16.03
2025-04-29,ChatGPT Plus,19.57
2025-04-30,Target Store,43.54
2025-04-30,Spotify,10.63
2025-04-30,DoorDash Order,64.36
2025-04-30,Substack VIP,7.96
2025-04-30,Slack Workspace,8.54
2025-05-01,Spotify,11.05
2025-05-01,NYTimes Digital,4.0
2025-05-02,GitHub Pro,3.92
2025-05-02,Adobe Creative Cloud,55.85
2025-05-02,PlayStation Plus,18.05
2025-05-02,Google One,2.0
2025-05-02,Netflix,15.99
2025-05-03,Google One,2.01
2025-05-03,Disney+,14.09
2025-05-04,Disney+,14.11
2025-05-05,Spotify,10.86
2025-05-06,GitHub Pro,4.0
2025-05-06,Google One,2.02
2025-05-06,Adobe Creative Cloud,55.12
2025-05-06,Gym Membership,50.73
2025-05-07,GitHub Pro,4.07
2025-05-07,Substack VIP,7.91
2025-05-07,PlayStation Plus,18.11
2025-05-08,ChatGPT Plus,20.3
2025-05-08,Delta Airlines,205.99
2025-05-08,PlayStation Plus,17.82
2025-05-09,Gym Membership,49.78
2025-05-09,Spotify,11.03
2025-05-09,NYTimes Digital,3.92
2025-05-09,Adobe Creative Cloud,54.78
2025-05-10,ChatGPT Plus,20.05
2025-05-10,AWS Hosting,45.57
2025-05-10,Substack VIP,8.12
2025-05-10,Disney+,13.86
2025-05-10,iCloud Storage,2.96
2025-05-10,Best Buy,121.87
2025-05-11,Notion Pro,10.04
2025-05-11,iCloud Storage,3.03
2025-05-12,Local Restaurant,53.08
2025-05-12,Netflix,15.68
2025-05-13,ChatGPT Plus,19.78
2025-05-13,Shell Gas Station,30.95
2025-05-14,iCloud Storage,3.0
2025-05-14,PlayStation Plus,18.13
2025-05-14,GitHub Pro,3.95
2025-05-14,Notion Pro,10.02
2025-05-16,NYTimes Digital,4.01
2025-05-17,Notion Pro,10.07
2025-05-17,DoorDash Order,38.06
2025-05-17,Spotify,11.14
2025-05-18,Gym Membership,50.23
2025-05-19,GitHub Pro,4.07
2025-05-19,Slack Workspace,8.85
2025-05-20,PlayStation Plus,17.79
2025-05-21,iCloud Storage,2.93
2025-05-21,Disney+,13.97
2025-05-22,AWS Hosting,45.09
2025-05-22,Substack VIP,7.95
2025-05-22,Google One,1.97
2025-05-22,Netflix,15.89
2025-05-23,NYTimes Digital,4.0
2025-05-23,iCloud Storage,2.94
2025-05-23,Adobe Creative Cloud,55.7
2025-05-23,Netflix,16.16
2025-05-24,AWS Hosting,45.34
2025-05-24,DoorDash Order,28.28
2025-05-24,Slack Workspace,8.77
2025-05-25,Slack Workspace,8.66
2025-05-25,Disney+,14.25
2025-05-25,Local Restaurant,60.69
2025-05-26,Adobe Creative Cloud,55.44
2025-05-26,Slack Workspace,8.8
2025-05-26,Gym Membership,49.89
2025-05-26,Substack VIP,8.14
2025-05-26,AWS Hosting,44.72
2025-05-27,ChatGPT Plus,20.2
2025-05-27,NYTimes Digital,4.06
2025-05-27,Best Buy,87.85
2025-05-27,Google One,2.0
2025-05-27,Gym Membership,50.92
2025-05-28,ChatGPT Plus,19.88
2025-05-28,Notion Pro,10.1
2025-05-28,Netflix,16.07
2025-05-29,Notion Pro,9.99
2025-05-29,Amazon Retail,27.43
2025-05-29,Spotify,10.88
2025-05-29,AWS Hosting,45.44
2025-05-29,Substack VIP,7.89
2025-05-30,Slack Workspace,8.68
2025-05-30,Google One,1.98
2025-05-31,CVS Pharmacy,13.28
2025-05-31,NYTimes Digital,3.99
2025-06-01,Spotify,11.04
2025-06-01,GitHub Pro,3.97
2025-06-02,Netflix,15.67
2025-06-02,Google One,1.96
2025-06-02,PlayStation Plus,18.35
2025-06-02,Disney+,14.05
2025-06-03,Spotify,11.16
2025-06-03,Adobe Creative Cloud,53.98
2025-06-03,Disney+,14.13
2025-06-04,Amazon Retail,131.54
2025-06-05,Google One,1.96
2025-06-05,PlayStation Plus,17.92
2025-06-05,Substack VIP,8.02
2025-06-05,Adobe Creative Cloud,54.4
2025-06-05,Amazon Retail,51.59
2025-06-05,Target Store,100.19
2025-06-05,Best Buy,225.97
2025-06-06,GitHub Pro,4.02
2025-06-06,PlayStation Plus,17.84
2025-06-06,Gym Membership,50.59
2025-06-06,GitHub Pro,4.04
2025-06-07,ChatGPT Plus,20.08
2025-06-07,DoorDash Order,57.58
2025-06-07,Spotify,10.84
2025-06-07,Adobe Creative Cloud,55.14
2025-06-08,Disney+,13.95
2025-06-08,ChatGPT Plus,19.69
2025-06-09,iCloud Storage,3.03
2025-06-09,AWS Hosting,45.17
2025-06-09,Substack VIP,7.85
2025-06-09,NYTimes Digital,4.1
2025-06-09,Gym Membership,50.8
2025-06-09,Trader Joe's,47.53
2025-06-10,Notion Pro,10.01
2025-06-11,iCloud Storage,3.01
2025-06-11,ChatGPT Plus,20.04
2025-06-11,GitHub Pro,4.03
2025-06-12,iCloud Storage,3.06
2025-06-12,Netflix,16.11
2025-06-12,Notion Pro,9.7
2025-06-12,DoorDash Order,35.49
2025-06-13,DoorDash Order,22.73
2025-06-13,PlayStation Plus,18.05
2025-06-14,Trader Joe's,32.4
2025-06-16,Notion Pro,10.01
2025-06-16,Gym Membership,50.27
2025-06-16,NYTimes Digital,4.02
2025-06-16,Spotify,10.91
2025-06-18,Trader Joe's,48.29
2025-06-18,GitHub Pro,3.96
2025-06-18,PlayStation Plus,18.11
2025-06-19,iCloud Storage,3.02
2025-06-20,Google One,1.97
2025-06-20,Slack Workspace,8.59
2025-06-20,Disney+,14.03
2025-06-21,Uber Trip,13.37
